Neuron_0_of_Layer_0 Neuron_1_of_Layer_0 Neuron_2_of_Layer_0 Neuron_3_of_Layer_0 Neuron_4_of_Layer_0 Neuron_5_of_Layer_0 Neuron_6_of_Layer_0 Neuron_0_of_Layer_1
1,000000 1,000000 1,000000 -1,000000 1,000000 -1,000000 -1,000000 5,969340
1,000000 1,000000 1,000000 -1,000000 1,000000 -1,000000 -1,000000 5,726176
1,000000 1,000000 1,000000 -1,000000 1,000000 -1,000000 -1,000000 5,857551
1,000000 1,000000 1,000000 -1,000000 1,000000 -1,000000 -1,000000 5,657399
1,000000 1,000000 1,000000 -1,000000 1,000000 -1,000000 -1,000000 4,346692
1,000000 1,000000 1,000000 -1,000000 1,000000 -1,000000 -1,000000 4,507141
1,000000 1,000000 1,000000 -1,000000 1,000000 -1,000000 -1,000000 3,477983
1,000000 1,000000 1,000000 -1,000000 1,000000 -1,000000 -1,000000 6,356130
1,000000 1,000000 1,000000 -1,000000 1,000000 -1,000000 -1,000000 6,450481
1,000000 1,000000 1,000000 -1,000000 1,000000 -1,000000 -1,000000 5,561807
1,000000 1,000000 1,000000 -1,000000 1,000000 -1,000000 -1,000000 6,762389
1,000000 1,000000 1,000000 -1,000000 1,000000 -1,000000 -1,000000 6,501460
1,000000 1,000000 1,000000 -1,000000 1,000000 -1,000000 -1,000000 6,709895
1,000000 1,000000 1,000000 -1,000000 1,000000 -1,000000 -1,000000 5,145874
1,000000 1,000000 1,000000 -1,000000 1,000000 -1,000000 -1,000000 4,949734
1,000000 1,000000 1,000000 -1,000000 1,000000 -1,000000 -1,000000 5,675960
1,000000 1,000000 1,000000 -1,000000 1,000000 -1,000000 -1,000000 5,555040
1,000000 1,000000 1,000000 -1,000000 1,000000 -1,000000 -1,000000 4,736346
1,000000 1,000000 1,000000 -1,000000 1,000000 -1,000000 -1,000000 6,066325
1,000000 1,000000 1,000000 -1,000000 1,000000 -1,000000 -1,000000 4,550736
1,000000 1,000000 1,000000 -1,000000 1,000000 -1,000000 -1,000000 5,893623
1,000000 1,000000 1,000000 -1,000000 1,000000 -1,000000 -1,000000 5,563846
1,000000 1,000000 1,000000 -1,000000 1,000000 -1,000000 -1,000000 5,532709
1,000000 1,000000 1,000000 -1,000000 1,000000 -1,000000 -1,000000 4,436812
1,000000 1,000000 1,000000 -1,000000 1,000000 -1,000000 -1,000000 5,083358
1,000000 1,000000 1,000000 -1,000000 1,000000 -1,000000 -1,000000 5,211553
1,000000 1,000000 1,000000 -1,000000 1,000000 -1,000000 -1,000000 4,808337
1,000000 1,000000 1,000000 -1,000000 1,000000 -1,000000 -1,000000 4,899611
1,000000 1,000000 1,000000 -1,000000 1,000000 -1,000000 -1,000000 5,403610
1,000000 1,000000 1,000000 -1,000000 1,000000 -1,000000 -1,000000 4,619757
1,000000 1,000000 1,000000 -1,000000 1,000000 -1,000000 -1,000000 5,178278
1,000000 1,000000 1,000000 -1,000000 1,000000 -1,000000 -1,000000 4,197706
1,000000 1,000000 1,000000 -1,000000 1,000000 -1,000000 -1,000000 6,389275
1,000000 1,000000 1,000000 -1,000000 1,000000 -1,000000 -1,000000 5,272680
1,000000 1,000000 1,000000 -1,000000 1,000000 -1,000000 -1,000000 4,570804
1,000000 1,000000 1,000000 -1,000000 1,000000 -1,000000 -1,000000 5,832816
1,000000 1,000000 1,000000 -1,000000 1,000000 -1,000000 -1,000000 4,852238
1,000000 1,000000 1,000000 -1,000000 1,000000 -1,000000 -1,000000 5,063985
1,000000 1,000000 1,000000 -1,000000 1,000000 -1,000000 -1,000000 5,527523
1,000000 1,000000 1,000000 -1,000000 1,000000 -1,000000 -1,000000 4,730441
1,000000 1,000000 1,000000 -1,000000 1,000000 -1,000000 -1,000000 5,268189
1,000000 1,000000 1,000000 -1,000000 1,000000 -1,000000 -1,000000 5,272106
1,000000 1,000000 1,000000 -1,000000 1,000000 -1,000000 -1,000000 4,268263
1,000000 1,000000 1,000000 -1,000000 1,000000 -1,000000 -1,000000 6,669863
1,000000 1,000000 1,000000 -1,000000 1,000000 -1,000000 -1,000000 5,540740
1,000000 1,000000 1,000000 -1,000000 1,000000 -1,000000 -1,000000 4,415154
1,000000 1,000000 1,000000 -1,000000 1,000000 -1,000000 -1,000000 5,197705
1,000000 1,000000 1,000000 -1,000000 1,000000 -1,000000 -1,000000 5,097824
1,000000 1,000000 1,000000 -1,000000 1,000000 -1,000000 -1,000000 5,789653
1,000000 1,000000 1,000000 -1,000000 1,000000 -1,000000 -1,000000 4,323726
