Neuron_0_of_Layer_0 Neuron_1_of_Layer_0 Neuron_2_of_Layer_0 Neuron_3_of_Layer_0 Neuron_4_of_Layer_0 Neuron_5_of_Layer_0 Neuron_6_of_Layer_0 Neuron_7_of_Layer_0 Neuron_8_of_Layer_0 Neuron_9_of_Layer_0 Neuron_10_of_Layer_0 Neuron_11_of_Layer_0 Neuron_12_of_Layer_0 Neuron_13_of_Layer_0 Neuron_14_of_Layer_0 Neuron_15_of_Layer_0 Neuron_16_of_Layer_0 Neuron_17_of_Layer_0 Neuron_18_of_Layer_0 Neuron_19_of_Layer_0 Neuron_0_of_Layer_1 Neuron_1_of_Layer_1 Neuron_2_of_Layer_1 Neuron_3_of_Layer_1 Neuron_4_of_Layer_1 Neuron_5_of_Layer_1 Neuron_6_of_Layer_1 Neuron_7_of_Layer_1 Neuron_8_of_Layer_1 Neuron_9_of_Layer_1 Neuron_0_of_Layer_2
-0,507915 0,998935 -0,262237 -0,999999 -0,994188 0,858740 -0,999963 -0,478657 -0,601749 0,998221 0,856973 0,984823 0,999692 -0,896975 -0,999294 -0,902404 0,997845 -0,940218 -0,901077 0,915210 -0,541532 -0,998556 -0,996598 -0,999805 -0,966319 -0,999135 1,000000 1,000000 -1,000000 0,999988 3,761797
-0,373433 0,945246 0,062850 -0,998606 0,707301 0,998292 -1,000000 0,999070 0,922935 0,817143 0,999999 0,996506 1,000000 -0,999389 -0,998686 -0,998191 0,897646 -0,871489 -0,998413 -0,675060 -0,998251 -0,990154 -0,999575 -0,946322 0,702387 -0,999418 0,999840 1,000000 -0,999996 0,995136 7,672157
0,868187 0,999993 -0,986661 -1,000000 -0,999431 0,999304 -0,999262 -0,991779 -0,465263 0,993464 -0,616004 0,923675 0,995248 -0,176087 -0,999352 0,967692 0,999495 -0,523294 0,846272 0,999665 0,680429 -1,000000 -0,905145 -0,999998 -0,999111 -0,959356 1,000000 1,000000 -1,000000 1,000000 1,647504
-0,117875 0,995054 -0,999609 -0,999996 -0,960587 0,976999 -1,000000 0,261548 0,412565 0,988608 0,993238 -0,272572 1,000000 -0,998411 -0,965556 -0,984702 0,993394 0,895088 -0,909208 0,943863 -0,985143 -0,999990 -0,999578 -0,224363 0,910640 -0,998953 0,999992 1,000000 -1,000000 0,995637 10,062617
0,974578 1,000000 0,450138 -1,000000 -0,998999 0,999994 -0,998470 -0,998652 -0,772886 0,998400 -0,924880 0,997880 0,998398 -0,123512 -0,999989 0,998323 0,999977 -0,989784 0,853374 0,999982 0,968076 -0,999740 -0,834902 -1,000000 -0,999992 -0,931811 1,000000 1,000000 -1,000000 1,000000 1,289503
0,997766 1,000000 -0,999600 -1,000000 -0,999989 0,999999 0,997197 -0,999986 -0,274786 0,952752 -0,999918 0,997229 -0,964428 0,999635 -0,999980 0,999997 0,999971 0,140528 0,999983 0,999999 0,999895 -1,000000 0,931647 -1,000000 -1,000000 -0,985034 1,000000 1,000000 -0,990538 1,000000 0,723450
-0,498572 0,997723 -0,999986 -0,999999 -0,988852 0,706852 -0,999995 0,611041 0,859450 0,726496 0,993452 -0,678241 1,000000 -0,980066 -0,659319 -0,740392 0,999603 0,978792 -0,272022 0,971766 -0,999255 -0,999996 -0,994845 0,492235 0,975096 -0,999454 0,999990 1,000000 -1,000000 0,968762 12,614233
0,996859 1,000000 -0,999507 -1,000000 -0,997713 1,000000 -0,979689 -0,998323 -0,001853 0,946660 -0,938612 0,981986 0,999888 0,394753 -0,999964 0,996984 0,999936 0,388475 0,997012 0,999957 0,985053 -1,000000 0,615394 -0,999999 -0,998888 -0,989006 1,000000 1,000000 -1,000000 1,000000 1,203199
0,998754 1,000000 0,318188 -0,999637 0,204025 1,000000 -0,999999 -0,803566 0,267683 0,965080 0,769133 0,999605 1,000000 -0,999145 -0,999966 -0,125418 0,998129 -0,990520 -0,895945 0,999156 0,834815 -0,999262 -0,999934 -1,000000 -0,998805 -0,947049 1,000000 1,000000 -1,000000 1,000000 2,948622
0,998950 1,000000 -0,167029 -1,000000 -0,998246 1,000000 -0,967471 -0,998973 0,005971 0,974011 -0,898737 0,999837 0,999938 0,473887 -0,999998 0,997833 0,999942 -0,984547 0,985381 0,999996 0,997946 -1,000000 0,905861 -1,000000 -0,999990 -0,999323 1,000000 1,000000 -1,000000 1,000000 1,089524
0,989985 1,000000 0,471365 -0,999989 -0,972172 1,000000 -0,761908 -0,552449 0,991129 -0,415030 0,955386 0,999983 0,997662 0,691623 -0,999913 0,887833 0,997636 -0,996715 0,740517 0,996160 0,807343 -0,999851 -0,767205 -1,000000 -0,999879 -0,994432 1,000000 1,000000 -1,000000 1,000000 3,109120
0,216076 0,999954 -1,000000 -1,000000 -0,999922 0,981565 0,516293 -0,806562 0,998547 -0,927450 0,713620 0,148206 0,594592 0,995117 -0,903533 0,980440 0,999123 0,994954 0,999286 0,998645 0,450939 -1,000000 -0,706781 -0,999805 -0,992909 -0,994520 0,999999 1,000000 -0,999998 1,000000 3,312015
-0,812512 0,999991 -0,999980 -0,999999 -0,997618 0,704198 -0,980093 0,865474 0,997406 -0,638250 0,997832 0,757985 0,999859 0,238893 -0,813267 -0,022147 0,999692 0,924602 0,670401 0,923870 -0,999946 -1,000000 -0,999951 -0,596794 0,937244 -0,993649 0,999998 1,000000 -1,000000 0,999024 10,149648
0,977923 1,000000 -0,246392 -1,000000 -0,999914 0,999999 0,834283 -0,986175 0,941307 0,499462 -0,136964 0,999911 0,692987 0,996095 -0,999991 0,999278 0,999909 -0,988947 0,997776 0,999991 0,999780 -1,000000 0,874389 -1,000000 -0,999999 -0,999901 1,000000 1,000000 -1,000000 1,000000 1,137983
0,999186 1,000000 -0,998361 -1,000000 -0,997986 1,000000 -0,999688 -0,998143 -0,954701 0,999222 -0,970862 0,594934 1,000000 -0,719888 -1,000000 0,996042 0,997035 0,728445 0,999348 0,999971 0,980697 -1,000000 0,781203 -0,999999 -0,999139 -0,998325 1,000000 1,000000 -1,000000 1,000000 1,303554
-0,080421 1,000000 0,997430 -1,000000 -0,999991 0,999150 0,329753 -0,980193 0,094297 0,990929 -0,077520 0,999996 0,969608 0,985991 -0,999999 0,998259 1,000000 -0,999925 0,954571 1,000000 0,999887 -0,997579 0,739085 -1,000000 -1,000000 -0,992524 1,000000 1,000000 -1,000000 1,000000 1,392437
0,997896 1,000000 0,593152 -1,000000 -0,965343 1,000000 -0,999975 -0,993332 -0,779052 0,999290 -0,705553 0,998897 1,000000 -0,987736 -0,999999 0,983438 0,999853 -0,992880 0,424382 1,000000 0,999405 -0,999993 0,868039 -1,000000 -0,999999 -0,998766 1,000000 1,000000 -1,000000 1,000000 1,068737
0,991659 1,000000 -0,999996 -0,999973 -0,793605 0,999998 -0,999990 -0,955962 0,554745 0,952027 0,228128 -0,558199 1,000000 -0,993844 -0,999856 0,800269 0,998027 0,991183 0,937710 0,999486 -0,188218 -1,000000 -0,967399 -0,993650 -0,907653 -0,983855 0,999999 1,000000 -1,000000 0,999995 4,782993
0,963206 1,000000 0,185428 -1,000000 -0,994968 1,000000 -0,096590 0,107802 0,993246 -0,364820 0,954295 0,999960 0,997154 0,885501 -0,999889 0,947883 0,996859 -0,990465 0,893336 0,998484 0,926612 -0,999988 -0,441212 -1,000000 -0,999916 -0,999926 1,000000 1,000000 -1,000000 1,000000 2,775901
