Experiment,MSE (No Norm),RMSE (No Norm),MSE (Norm),RMSE (Norm),Improvement (%)
baseline,17.344468766725228,18.45897659635253,0.4162400377828879,0.4948449372155319,97.60015689508214
lr_high,17.69283842994634,18.72677997645059,4.791008089981412,5.423146365871268,72.9212013722326
no_momentum,17.30989659311536,18.439034432876305,0.4554460252426323,0.5147936091453278,97.36886917381253
deep,17.26678960247369,18.425644990499983,17.26157307396089,18.45346714469768,0.03021133999370206
relu,17.274094868379898,18.425573608498933,17.263422822032283,18.426796984714617,0.06178063990577125
no_reg,17.389281558743374,18.488726540498156,0.4143063652529132,0.4906843362987633,97.617461285831
simple,17.959912992619653,19.323706013943607,17.844106389709705,19.191980318188683,0.6448060352939217
