Neuron_0_of_Layer_0 Neuron_1_of_Layer_0 Neuron_2_of_Layer_0 Neuron_3_of_Layer_0 Neuron_4_of_Layer_0 Neuron_5_of_Layer_0 Neuron_6_of_Layer_0 Neuron_7_of_Layer_0 Neuron_8_of_Layer_0 Neuron_9_of_Layer_0 Neuron_10_of_Layer_0 Neuron_11_of_Layer_0 Neuron_12_of_Layer_0 Neuron_13_of_Layer_0 Neuron_14_of_Layer_0 Neuron_15_of_Layer_0 Neuron_16_of_Layer_0 Neuron_17_of_Layer_0 Neuron_18_of_Layer_0 Neuron_19_of_Layer_0 Neuron_20_of_Layer_0 Neuron_21_of_Layer_0 Neuron_22_of_Layer_0 Neuron_23_of_Layer_0 Neuron_24_of_Layer_0 Neuron_25_of_Layer_0 Neuron_26_of_Layer_0 Neuron_27_of_Layer_0 Neuron_28_of_Layer_0 Neuron_29_of_Layer_0 Neuron_30_of_Layer_0 Neuron_31_of_Layer_0 Neuron_32_of_Layer_0 Neuron_33_of_Layer_0 Neuron_34_of_Layer_0 Neuron_35_of_Layer_0 Neuron_36_of_Layer_0 Neuron_37_of_Layer_0 Neuron_38_of_Layer_0 Neuron_39_of_Layer_0 Neuron_40_of_Layer_0 Neuron_41_of_Layer_0 Neuron_42_of_Layer_0 Neuron_43_of_Layer_0 Neuron_44_of_Layer_0 Neuron_45_of_Layer_0 Neuron_46_of_Layer_0 Neuron_47_of_Layer_0 Neuron_48_of_Layer_0 Neuron_49_of_Layer_0 Neuron_0_of_Layer_1 Neuron_1_of_Layer_1 Neuron_2_of_Layer_1 Neuron_3_of_Layer_1 Neuron_4_of_Layer_1 Neuron_5_of_Layer_1 Neuron_6_of_Layer_1 Neuron_7_of_Layer_1 Neuron_8_of_Layer_1 Neuron_9_of_Layer_1 Neuron_10_of_Layer_1 Neuron_11_of_Layer_1 Neuron_12_of_Layer_1 Neuron_13_of_Layer_1 Neuron_14_of_Layer_1 Neuron_15_of_Layer_1 Neuron_16_of_Layer_1 Neuron_17_of_Layer_1 Neuron_18_of_Layer_1 Neuron_19_of_Layer_1 Neuron_0_of_Layer_2 Neuron_1_of_Layer_2 Neuron_2_of_Layer_2 Neuron_3_of_Layer_2 Neuron_4_of_Layer_2 Neuron_5_of_Layer_2 Neuron_6_of_Layer_2 Neuron_7_of_Layer_2 Neuron_8_of_Layer_2 Neuron_9_of_Layer_2 Neuron_0_of_Layer_3
-0,615132 -0,835778 0,998249 -0,866666 -0,959154 -0,166422 0,999577 -0,784433 0,987349 -0,999942 -0,464534 -0,974258 0,958196 0,827130 0,427591 -0,730611 0,938799 0,999721 -0,998340 -0,991629 -0,988563 0,999896 1,000000 -0,867071 -0,920953 0,993060 -0,999994 0,997946 -0,999998 -0,752596 -0,999958 -0,995797 -0,123006 0,999456 -0,592934 -0,978704 -0,999995 -1,000000 0,980284 0,999892 0,056224 -0,999142 -0,999882 0,999934 0,187548 -0,978731 0,995987 -0,999993 0,980137 0,801471 -0,999163 1,000000 1,000000 -0,999853 1,000000 1,000000 1,000000 0,312792 0,195185 1,000000 -1,000000 1,000000 0,999953 -0,999900 1,000000 1,000000 0,995371 1,000000 0,999999 0,434691 0,999986 1,000000 -0,999942 -0,999983 0,959145 -0,998945 0,999908 0,728930 -1,000000 -0,998568 14,693273
-0,999968 0,758167 -0,978506 -0,966130 -0,999821 0,999972 0,569813 -0,999362 0,976493 -0,582325 0,999346 0,996564 0,999686 -0,746211 -0,996015 0,083208 -0,997516 0,109919 0,999978 0,729173 -0,999967 -0,996318 0,999997 0,348878 -0,999901 -0,999783 -0,999821 0,998827 -0,999999 -0,882874 0,745728 -0,999995 0,998526 0,998641 -1,000000 0,900644 -0,899511 -0,999987 1,000000 0,795125 0,999979 -0,999267 0,878178 0,930735 -0,983279 0,301288 0,999993 -0,999999 0,999982 0,995009 1,000000 0,999991 1,000000 -0,243232 -1,000000 -0,999998 0,999602 1,000000 0,998652 -0,953865 0,998417 1,000000 1,000000 -0,945961 1,000000 1,000000 -1,000000 0,950205 1,000000 -0,996242 0,999516 -0,803352 0,999975 -0,999931 -1,000000 -0,999936 0,969131 0,996999 -0,999573 -0,993965 2,549684
-0,995546 0,997947 0,602152 0,708248 -0,834774 1,000000 -0,999961 -0,999857 0,986721 -0,999924 0,999973 0,970476 0,692346 0,991489 -0,999815 0,999654 -0,926747 -0,999997 1,000000 0,958575 0,991895 -0,998290 0,998756 0,999999 -0,999164 -0,999888 -0,999827 1,000000 -0,164776 0,998905 0,899481 0,991343 0,999391 -0,999135 -1,000000 0,999283 -0,884357 -0,999993 0,999977 -0,811961 0,999990 0,990055 -0,995695 0,999647 -0,991298 -0,999997 0,999999 0,667101 0,999989 0,999997 1,000000 0,999995 1,000000 -0,999359 -1,000000 -1,000000 -0,999997 1,000000 0,999927 -1,000000 1,000000 1,000000 1,000000 -1,000000 1,000000 1,000000 -1,000000 -0,989304 1,000000 -1,000000 0,994513 -0,999999 0,999874 -0,993378 -1,000000 -0,999728 -0,742940 0,999969 -0,994865 -0,999696 1,016720
-0,139744 -0,998202 -0,934411 1,000000 0,999982 0,789430 0,770441 0,682597 0,774906 -0,999317 0,933026 -0,998495 0,999907 1,000000 0,617909 -0,996885 0,994804 -0,998996 0,978932 -0,999998 1,000000 -1,000000 0,935250 0,999978 0,984117 0,866590 -1,000000 0,999974 -0,679179 0,305394 -0,999935 0,903195 0,998118 -0,739680 -0,204104 -0,971306 0,998143 -0,991836 0,279444 0,999537 0,997493 -0,430727 -0,999994 -0,958766 0,772214 -0,996044 0,977699 -0,790832 0,987169 0,442391 -0,999909 0,999764 0,999896 -1,000000 0,999999 0,992763 1,000000 1,000000 -0,993406 0,999997 0,509689 1,000000 0,999987 -0,999949 1,000000 0,999998 -0,999940 0,994943 0,992272 0,931552 0,999999 1,000000 -0,999056 -0,999999 -0,627380 -0,999950 0,999106 0,982989 -0,999960 -0,993062 10,192161
-0,999485 -0,997727 -0,816802 0,943661 -0,991171 0,559028 -0,878629 -0,999993 -0,904188 -1,000000 0,788532 0,999567 0,444211 0,938602 -0,999258 0,997481 -0,975697 0,492973 0,999999 0,660138 1,000000 -1,000000 1,000000 0,999991 -0,565450 -0,739518 -0,999858 0,999999 -0,367637 0,999999 0,993381 0,968056 1,000000 0,984410 -1,000000 0,987786 0,959255 -1,000000 1,000000 0,156701 0,985106 -0,383874 0,005005 0,999865 -0,999241 -1,000000 1,000000 -0,867619 1,000000 0,996121 1,000000 -0,702382 1,000000 0,838852 -0,999999 -1,000000 -0,618145 1,000000 0,999989 -1,000000 0,999930 1,000000 1,000000 -1,000000 1,000000 1,000000 -1,000000 1,000000 1,000000 -1,000000 0,994809 -0,997510 0,999852 -0,991410 -1,000000 -0,999919 0,887149 0,999608 -0,993543 -0,996982 2,005140
-0,794592 0,998851 0,774154 -0,842278 -0,996937 1,000000 -0,995358 -0,996925 -0,995535 -0,972167 1,000000 0,999502 0,919567 -0,927145 -0,989868 0,996116 -0,926485 -0,999268 0,999999 -0,115520 -0,991276 -0,996951 0,025701 0,964637 -0,999959 -0,999997 -0,999910 0,999840 -1,000000 -0,982128 0,954855 -0,999884 0,927911 0,780390 -1,000000 0,622728 0,971702 -0,797122 1,000000 0,681699 0,998197 -0,995693 -0,843146 0,811476 -0,993901 -0,158177 0,998378 -0,999997 0,979810 0,999997 1,000000 1,000000 1,000000 -0,285247 -1,000000 -1,000000 0,999763 1,000000 0,998729 0,998256 0,999968 1,000000 1,000000 -0,999997 1,000000 1,000000 -1,000000 0,999913 1,000000 -0,557590 0,998903 0,579927 0,999494 -0,999987 -0,999993 -0,999913 0,999996 0,982449 -0,993270 -0,998496 4,730581
0,985042 0,924837 -0,999999 0,999995 -0,703382 0,998162 0,559508 -0,710665 -0,977376 -0,996059 0,995572 -0,373762 0,993691 0,587472 0,558892 -0,503146 0,999771 -0,956504 -0,989114 -0,995104 -0,964239 -0,995031 0,189674 -0,807152 0,715085 -0,999575 -0,999069 -0,243563 -1,000000 0,356672 -0,999421 -0,999857 -0,996377 -0,941457 -0,993456 0,817143 0,945910 -0,999708 0,521815 0,333713 0,051384 -0,840764 -1,000000 -0,992023 0,999620 -0,952578 0,890078 -0,999942 0,999838 0,088077 -0,999975 0,999997 1,000000 -0,999969 1,000000 0,372913 1,000000 1,000000 0,999715 0,999828 -1,000000 1,000000 1,000000 -1,000000 1,000000 1,000000 -0,995464 1,000000 1,000000 -0,576423 0,999457 0,999997 -0,966881 -0,999971 -0,666643 -0,999771 1,000000 0,970806 -0,999833 -0,968466 10,157621
0,959819 0,999500 -0,300364 0,995993 0,988737 0,999999 0,869463 0,984259 0,999783 -0,053764 0,999785 -0,999955 0,999955 0,999970 0,894487 -0,995267 0,999753 -0,999600 -0,999793 -0,999940 -1,000000 0,999995 -0,996277 -0,685745 -0,975929 -0,972864 -1,000000 0,772181 -1,000000 -0,999995 -1,000000 -0,999705 -0,999982 -0,996619 0,045866 -0,954054 -0,999920 -0,998378 -0,990618 0,998085 0,998331 -0,878929 -1,000000 -0,841726 0,999740 0,998401 -0,805063 -0,999961 -0,475423 0,969836 -1,000000 -0,925412 0,912799 -1,000000 1,000000 1,000000 1,000000 0,055946 -0,999946 1,000000 -0,999935 0,999884 0,999996 -0,999990 1,000000 -0,984649 0,953770 1,000000 -0,324513 0,999885 0,999999 1,000000 -1,000000 -0,999998 0,999898 -0,864367 0,957355 -0,864013 -0,998158 -0,999492 20,131691
-0,998763 0,704249 0,998683 -0,996259 -1,000000 0,998658 -0,999984 -1,000000 -0,560353 -1,000000 0,783405 0,999998 -0,999951 -0,999708 -1,000000 1,000000 -0,998682 0,555678 1,000000 0,999999 1,000000 -0,998492 1,000000 1,000000 -0,998099 -0,982062 0,878266 1,000000 0,934864 1,000000 0,999996 0,999988 1,000000 0,534862 -1,000000 0,999997 -0,999640 -1,000000 1,000000 -0,994218 0,916785 0,990616 0,274771 1,000000 -0,999997 -1,000000 1,000000 0,961014 1,000000 1,000000 1,000000 1,000000 1,000000 -0,991551 -1,000000 -1,000000 -1,000000 1,000000 1,000000 -1,000000 1,000000 0,999987 1,000000 -0,998599 1,000000 1,000000 -1,000000 -1,000000 1,000000 -1,000000 0,994919 -1,000000 0,999728 -0,993712 -1,000000 -0,999252 -0,861495 0,999975 -0,992943 -0,999727 0,974334
0,934225 0,969873 0,038156 0,961691 -0,958238 0,948385 0,417666 -0,980585 0,991775 -1,000000 -0,302896 -0,981675 -0,425120 0,463736 -0,759579 0,972896 0,999681 0,914539 -0,999686 -0,585315 0,015830 0,999959 0,999999 0,605114 0,418135 0,457627 -0,995987 0,994803 -0,999920 0,999747 -0,999839 0,312843 -0,988665 -0,939411 -0,477064 0,879773 -0,999999 -1,000000 -0,771776 0,806305 -0,184916 0,514315 -1,000000 0,999992 0,987695 -0,999999 0,999893 -0,956905 0,999978 0,969349 0,927831 0,999939 1,000000 -1,000000 0,984859 -1,000000 1,000000 1,000000 0,995241 -0,885146 -1,000000 1,000000 1,000000 -1,000000 1,000000 1,000000 -1,000000 1,000000 1,000000 -1,000000 0,952851 0,924044 0,826748 -0,999969 -1,000000 -0,998885 0,999954 0,997787 -0,999976 -0,979142 5,595894
