Neuron_0_of_Layer_0 Neuron_1_of_Layer_0 Neuron_2_of_Layer_0 Neuron_3_of_Layer_0 Neuron_4_of_Layer_0 Neuron_5_of_Layer_0 Neuron_6_of_Layer_0 Neuron_7_of_Layer_0 Neuron_8_of_Layer_0 Neuron_9_of_Layer_0 Neuron_10_of_Layer_0 Neuron_11_of_Layer_0 Neuron_12_of_Layer_0 Neuron_13_of_Layer_0 Neuron_14_of_Layer_0 Neuron_15_of_Layer_0 Neuron_16_of_Layer_0 Neuron_17_of_Layer_0 Neuron_18_of_Layer_0 Neuron_19_of_Layer_0 Neuron_0_of_Layer_1 Neuron_1_of_Layer_1 Neuron_2_of_Layer_1 Neuron_3_of_Layer_1 Neuron_4_of_Layer_1 Neuron_5_of_Layer_1 Neuron_6_of_Layer_1 Neuron_7_of_Layer_1 Neuron_8_of_Layer_1 Neuron_9_of_Layer_1 Neuron_0_of_Layer_2
1,000000 -1,000000 1,000000 -1,000000 1,000000 1,000000 -1,000000 -1,000000 1,000000 1,000000 -1,000000 1,000000 -1,000000 1,000000 -1,000000 -1,000000 -1,000000 1,000000 -1,000000 -1,000000 0,996157 -0,249558 0,992951 -0,993289 0,934640 0,991092 0,999996 0,990597 -0,999859 0,991569 0,032342
1,000000 -1,000000 1,000000 -1,000000 1,000000 1,000000 -1,000000 -1,000000 1,000000 1,000000 -1,000000 1,000000 -1,000000 1,000000 -1,000000 -1,000000 -1,000000 1,000000 -1,000000 -1,000000 0,996142 -0,190812 0,992893 -0,993232 0,932669 0,991007 0,999996 0,990491 -0,999859 0,991514 0,024300
1,000000 -1,000000 1,000000 -1,000000 1,000000 1,000000 -1,000000 -1,000000 1,000000 1,000000 -1,000000 1,000000 -1,000000 1,000000 -1,000000 -1,000000 -1,000000 1,000000 -1,000000 -1,000000 0,996128 -0,142710 0,992831 -0,993173 0,930529 0,990922 0,999996 0,990380 -0,999859 0,991464 0,026213
1,000000 -1,000000 1,000000 -0,999997 0,999999 1,000000 -1,000000 -1,000000 1,000000 1,000000 -1,000000 1,000000 -1,000000 1,000000 -1,000000 -1,000000 -1,000000 1,000000 -1,000000 -1,000000 0,996114 -0,104033 0,992763 -0,993108 0,928205 0,990836 0,999996 0,990263 -0,999859 0,991414 0,032724
1,000000 -1,000000 1,000000 -1,000000 1,000000 1,000000 -1,000000 -1,000000 1,000000 1,000000 -1,000000 1,000000 -1,000000 1,000000 -1,000000 -1,000000 -1,000000 1,000000 -1,000000 -1,000000 0,996100 -0,075426 0,992697 -0,993043 0,926012 0,990749 0,999996 0,990147 -0,999859 0,991362 0,030147
1,000000 -1,000000 1,000000 -1,000000 1,000000 1,000000 -1,000000 -1,000000 1,000000 1,000000 -1,000000 1,000000 -1,000000 1,000000 -1,000000 -1,000000 -1,000000 1,000000 -1,000000 -1,000000 0,996086 -0,053994 0,992624 -0,992974 0,923721 0,990661 0,999996 0,990026 -0,999859 0,991313 0,030699
1,000000 -1,000000 1,000000 -1,000000 1,000000 1,000000 -1,000000 -1,000000 1,000000 0,999999 -1,000000 1,000000 -1,000000 1,000000 -1,000000 -1,000000 -1,000000 1,000000 -1,000000 -1,000000 0,996073 -0,039567 0,992553 -0,992906 0,921609 0,990582 0,999996 0,989913 -0,999859 0,991269 0,031713
1,000000 -1,000000 1,000000 -1,000000 1,000000 1,000000 -1,000000 -1,000000 1,000000 1,000000 -1,000000 1,000000 -1,000000 1,000000 -1,000000 -1,000000 -1,000000 1,000000 -1,000000 -1,000000 0,996060 -0,028006 0,992471 -0,992828 0,919306 0,990494 0,999996 0,989785 -0,999859 0,991224 0,032822
1,000000 -0,999998 1,000000 -0,999980 1,000000 1,000000 -1,000000 -1,000000 1,000000 0,999281 -1,000000 1,000000 -1,000000 1,000000 -1,000000 -1,000000 -1,000000 1,000000 -1,000000 -1,000000 0,996047 -0,020126 0,992385 -0,992754 0,917418 0,990418 0,999996 0,989668 -0,999859 0,991187 0,028668
1,000000 -1,000000 1,000000 -1,000000 1,000000 1,000000 -1,000000 -1,000000 1,000000 0,999999 -1,000000 1,000000 -1,000000 1,000000 -1,000000 -1,000000 -1,000000 1,000000 -1,000000 -1,000000 0,996038 -0,014882 0,992301 -0,992672 0,915662 0,990336 0,999996 0,989549 -0,999859 0,991148 0,030943
