experiment,architecture,batch_size,activation,learning_rate,momentum,l2_reg,train_mse,val_mse,rmse,normalized
grid_standard_lr0.01_m0.9_l20.0001_tanh_bs16,7-20-10-1,16,Tanh,0.01,0.9,0.0001,0.4966921233466809,0.5784573506146079,0.7605638373040148,True
grid_standard_lr0.01_m0.9_l20.0001_tanh_bs32,7-20-10-1,32,Tanh,0.01,0.9,0.0001,0.4337069187522048,0.5431469881882839,0.7369850664621935,True
grid_standard_lr0.01_m0.9_l20.001_relu_bs16,7-20-10-1,16,Relu,0.01,0.9,0.001,17.28404310095171,18.4986358790229,4.301004054755459,True
grid_standard_lr0.01_m0.9_l20.001_relu_bs32,7-20-10-1,32,Relu,0.01,0.9,0.001,0.4414543396047896,0.5138692811752266,0.7168467626872751,True
grid_standard_lr0.01_m0.9_l20.001_tanh_bs16,7-20-10-1,16,Tanh,0.01,0.9,0.001,0.478584969434365,0.5582704589645632,0.7471749855051112,True
grid_standard_lr0.01_m0.9_l20.001_tanh_bs32,7-20-10-1,32,Tanh,0.01,0.9,0.001,0.4365000267701848,0.5295714171258115,0.7277165774707977,True
grid_tiny_lr0.01_m0.9_l20.0001_relu_bs16,7-7-1,16,Relu,0.01,0.9,0.0001,0.7240995484692043,0.757377281731446,0.8702742566176745,True
grid_tiny_lr0.01_m0.9_l20.0001_relu_bs32,7-7-1,32,Relu,0.01,0.9,0.0001,0.6589760644993021,0.6815924386733058,0.8255861182658693,True
grid_tiny_lr0.01_m0.9_l20.0001_tanh_bs16,7-7-1,16,Tanh,0.01,0.9,0.0001,0.7309852409281238,0.7200420497039568,0.8485529150877728,True
grid_tiny_lr0.01_m0.9_l20.0001_tanh_bs32,7-7-1,32,Tanh,0.01,0.9,0.0001,0.6270251099512549,0.6349672852452323,0.7968483451982769,True
grid_tiny_lr0.01_m0.9_l20.001_relu_bs16,7-7-1,16,Relu,0.01,0.9,0.001,0.6135231634593588,0.6280930727877331,0.7925232317022215,True
grid_tiny_lr0.01_m0.9_l20.001_relu_bs32,7-7-1,32,Relu,0.01,0.9,0.001,0.5573259827372888,0.5810580194425896,0.7622716178912801,True
grid_tiny_lr0.01_m0.9_l20.001_tanh_bs16,7-7-1,16,Tanh,0.01,0.9,0.001,0.9900321026146728,1.02993233992498,1.0148558222353459,True
grid_tiny_lr0.01_m0.9_l20.001_tanh_bs32,7-7-1,32,Tanh,0.01,0.9,0.001,0.6773662352163403,0.7103100501628273,0.8427989381595277,True
grid_very_deep_lr0.01_m0.9_l20.0001_relu_bs16,7-50-30-15-1,16,Relu,0.01,0.9,0.0001,17.314939348835104,18.441685692444885,4.294378382542098,True
grid_very_deep_lr0.01_m0.9_l20.0001_relu_bs32,7-50-30-15-1,32,Relu,0.01,0.9,0.0001,0.2774113433220906,0.7579177551055626,0.8705847202343736,True
grid_very_deep_lr0.01_m0.9_l20.0001_tanh_bs16,7-50-30-15-1,16,Tanh,0.01,0.9,0.0001,0.2318320727071083,0.7678046477185987,0.8762446277830174,True
grid_very_deep_lr0.01_m0.9_l20.0001_tanh_bs32,7-50-30-15-1,32,Tanh,0.01,0.9,0.0001,0.1922109981098498,0.8607459099556272,0.9277639300789976,True
grid_very_deep_lr0.01_m0.9_l20.001_relu_bs16,7-50-30-15-1,16,Relu,0.01,0.9,0.001,17.423908086181726,18.5134303010625,4.302723591059795,True
