Neuron_0_of_Layer_0 Neuron_1_of_Layer_0 Neuron_2_of_Layer_0 Neuron_3_of_Layer_0 Neuron_4_of_Layer_0 Neuron_5_of_Layer_0 Neuron_6_of_Layer_0 Neuron_7_of_Layer_0 Neuron_8_of_Layer_0 Neuron_9_of_Layer_0 Neuron_10_of_Layer_0 Neuron_11_of_Layer_0 Neuron_12_of_Layer_0 Neuron_13_of_Layer_0 Neuron_14_of_Layer_0 Neuron_15_of_Layer_0 Neuron_16_of_Layer_0 Neuron_17_of_Layer_0 Neuron_18_of_Layer_0 Neuron_19_of_Layer_0 Neuron_20_of_Layer_0 Neuron_21_of_Layer_0 Neuron_22_of_Layer_0 Neuron_23_of_Layer_0 Neuron_24_of_Layer_0 Neuron_25_of_Layer_0 Neuron_26_of_Layer_0 Neuron_27_of_Layer_0 Neuron_28_of_Layer_0 Neuron_29_of_Layer_0 Neuron_30_of_Layer_0 Neuron_31_of_Layer_0 Neuron_32_of_Layer_0 Neuron_33_of_Layer_0 Neuron_34_of_Layer_0 Neuron_35_of_Layer_0 Neuron_36_of_Layer_0 Neuron_37_of_Layer_0 Neuron_38_of_Layer_0 Neuron_39_of_Layer_0 Neuron_40_of_Layer_0 Neuron_41_of_Layer_0 Neuron_42_of_Layer_0 Neuron_43_of_Layer_0 Neuron_44_of_Layer_0 Neuron_45_of_Layer_0 Neuron_46_of_Layer_0 Neuron_47_of_Layer_0 Neuron_48_of_Layer_0 Neuron_49_of_Layer_0 Neuron_0_of_Layer_1 Neuron_1_of_Layer_1 Neuron_2_of_Layer_1 Neuron_3_of_Layer_1 Neuron_4_of_Layer_1 Neuron_5_of_Layer_1 Neuron_6_of_Layer_1 Neuron_7_of_Layer_1 Neuron_8_of_Layer_1 Neuron_9_of_Layer_1 Neuron_10_of_Layer_1 Neuron_11_of_Layer_1 Neuron_12_of_Layer_1 Neuron_13_of_Layer_1 Neuron_14_of_Layer_1 Neuron_15_of_Layer_1 Neuron_16_of_Layer_1 Neuron_17_of_Layer_1 Neuron_18_of_Layer_1 Neuron_19_of_Layer_1 Neuron_0_of_Layer_2 Neuron_1_of_Layer_2 Neuron_2_of_Layer_2 Neuron_3_of_Layer_2 Neuron_4_of_Layer_2 Neuron_5_of_Layer_2 Neuron_6_of_Layer_2 Neuron_7_of_Layer_2 Neuron_8_of_Layer_2 Neuron_9_of_Layer_2 Neuron_0_of_Layer_3
1,000000 1,000000 -1,000000 1,000000 -1,000000 1,000000 1,000000 1,000000 1,000000 -1,000000 1,000000 -1,000000 1,000000 -1,000000 1,000000 -1,000000 1,000000 -1,000000 1,000000 -1,000000 -1,000000 1,000000 1,000000 -1,000000 -1,000000 -1,000000 1,000000 -1,000000 1,000000 -1,000000 -1,000000 1,000000 1,000000 -1,000000 1,000000 1,000000 -1,000000 -1,000000 1,000000 -1,000000 -1,000000 -1,000000 1,000000 -1,000000 1,000000 -1,000000 -1,000000 1,000000 1,000000 -1,000000 1,000000 0,999993 -0,999984 0,936875 -0,998623 0,069699 -0,999925 0,999949 -0,998943 -0,969173 -0,996512 0,987539 0,916769 -0,901691 -1,000000 -0,895220 -0,942312 1,000000 -0,996181 -1,000000 0,008527 -0,067214 0,011226 0,007933 -0,998450 -0,044796 0,013530 -0,050384 -0,115493 0,056297 5,721043
1,000000 1,000000 -1,000000 1,000000 -1,000000 1,000000 1,000000 1,000000 1,000000 -1,000000 1,000000 -1,000000 1,000000 -1,000000 1,000000 -1,000000 -1,000000 -1,000000 1,000000 -1,000000 -1,000000 1,000000 1,000000 -1,000000 -1,000000 -1,000000 1,000000 -1,000000 1,000000 -1,000000 -1,000000 1,000000 1,000000 -1,000000 1,000000 1,000000 -1,000000 -1,000000 1,000000 -1,000000 -1,000000 -1,000000 1,000000 -1,000000 1,000000 -1,000000 -1,000000 1,000000 1,000000 -1,000000 0,999999 0,999915 -0,999824 0,955334 -0,948404 -0,001678 -0,999618 0,999861 -0,993299 -0,979758 0,022513 0,981790 0,998738 -0,999739 -0,999999 0,626114 0,000915 0,999999 -0,979819 -1,000000 0,003541 -0,001236 0,004142 0,001652 -0,999982 0,009326 0,001263 0,010263 0,006465 -0,004790 5,496700
1,000000 1,000000 -1,000000 1,000000 -1,000000 1,000000 1,000000 1,000000 1,000000 -1,000000 1,000000 -1,000000 1,000000 -1,000000 1,000000 -1,000000 -1,000000 -1,000000 1,000000 -1,000000 -1,000000 1,000000 1,000000 -1,000000 -1,000000 -1,000000 1,000000 -1,000000 1,000000 -1,000000 -1,000000 1,000000 1,000000 -1,000000 1,000000 1,000000 -1,000000 -1,000000 1,000000 -1,000000 -1,000000 -1,000000 1,000000 -1,000000 1,000000 -1,000000 -1,000000 1,000000 1,000000 -1,000000 0,999998 0,999838 -0,999674 0,878163 -0,949881 -0,016086 -0,999307 0,999739 -0,980664 -0,977708 0,003944 0,980692 0,997605 -0,999518 -0,999999 0,014249 0,002497 0,999997 -0,983740 -1,000000 0,000030 -0,000054 0,000527 -0,000074 -0,999967 0,000884 0,000219 0,000370 0,000105 -0,000102 5,200592
0,993807 1,000000 -1,000000 0,999407 -1,000000 1,000000 0,999992 0,999660 0,998745 -1,000000 0,995994 -0,993336 0,999634 -1,000000 0,999721 -1,000000 -0,999423 -0,999344 1,000000 -1,000000 -0,999997 0,999958 1,000000 -1,000000 -0,999836 -0,999949 0,999983 -0,998859 1,000000 -1,000000 -0,999994 0,999999 0,999993 -1,000000 0,998095 0,999799 -1,000000 -0,999975 0,999999 -1,000000 -0,999858 -0,999881 0,999949 -0,999981 1,000000 -0,998708 -0,999651 0,999998 0,999130 -1,000000 0,999994 0,999696 -0,999395 0,791842 -0,921626 -0,043016 -0,998664 0,999512 -0,891879 -0,938090 0,055563 0,971087 0,993286 -0,999080 -0,999997 0,063267 0,015124 0,999992 -0,964719 -0,999999 0,009543 0,006080 0,015607 -0,012857 -0,999880 0,008399 -0,003542 0,006774 0,015357 -0,021953 5,122562
1,000000 1,000000 -1,000000 1,000000 -1,000000 1,000000 1,000000 1,000000 1,000000 -1,000000 -1,000000 -1,000000 -1,000000 -1,000000 1,000000 -1,000000 -1,000000 -1,000000 1,000000 -1,000000 -1,000000 1,000000 1,000000 -1,000000 -1,000000 -1,000000 1,000000 -1,000000 1,000000 -1,000000 -1,000000 1,000000 1,000000 -1,000000 -1,000000 1,000000 -1,000000 -1,000000 1,000000 -1,000000 -1,000000 -1,000000 1,000000 -1,000000 1,000000 -1,000000 -1,000000 1,000000 -1,000000 -1,000000 0,999538 0,992643 -0,988459 0,997728 -0,997620 0,013003 -0,995040 0,993512 -0,963679 -0,920292 -0,999909 0,962499 0,861421 -0,990094 -0,999932 -0,993701 -0,563924 0,999875 -0,934370 -0,999927 0,007053 0,007677 0,016133 -0,020510 -1,000000 -0,011442 -0,014369 -0,004952 0,003331 -0,023250 5,656772
1,000000 1,000000 -1,000000 1,000000 -1,000000 1,000000 1,000000 -1,000000 -1,000000 -1,000000 -1,000000 -1,000000 -1,000000 -1,000000 1,000000 -1,000000 -1,000000 -1,000000 1,000000 -1,000000 -1,000000 1,000000 1,000000 -1,000000 -1,000000 -1,000000 1,000000 1,000000 1,000000 -1,000000 -1,000000 1,000000 1,000000 -1,000000 -1,000000 1,000000 -1,000000 -1,000000 1,000000 -1,000000 -1,000000 -1,000000 1,000000 -1,000000 1,000000 -1,000000 -1,000000 1,000000 -1,000000 -1,000000 0,987265 0,956045 -0,988212 -0,086817 -0,871527 0,005784 -0,973033 0,808813 0,904197 -0,935901 -0,997725 0,984632 -0,011810 0,002028 -0,999057 -0,015710 0,000865 0,999166 -0,962049 -0,994909 -0,000042 0,000058 0,000119 0,000012 -0,999999 0,000065 0,000012 0,000110 0,000112 -0,000023 5,985807
0,998974 1,000000 -1,000000 0,999481 -1,000000 1,000000 0,999993 -1,000000 -0,998887 -1,000000 -0,999604 -0,999691 -0,999969 -1,000000 1,000000 -1,000000 -0,999964 -0,999862 1,000000 -1,000000 -0,999999 0,999989 1,000000 -1,000000 -0,999975 -0,999940 0,999989 1,000000 1,000000 -1,000000 -0,999993 1,000000 0,999979 -1,000000 -0,999787 0,999967 -1,000000 -0,999825 0,999999 -1,000000 -0,999930 -0,999985 0,999985 -0,999985 1,000000 -0,999288 -0,999444 1,000000 -1,000000 -1,000000 0,980394 0,929806 -0,982734 0,002350 -0,757760 0,003554 -0,964362 0,523099 0,901777 -0,898591 -0,996427 0,977584 -0,015763 0,006095 -0,998479 -0,007592 0,000430 0,998631 -0,948021 -0,992320 0,000407 0,000036 -0,000820 0,000127 -0,999994 -0,000539 -0,000281 -0,000872 -0,000655 -0,000009 5,426647
0,999980 1,000000 -1,000000 0,998310 -1,000000 1,000000 0,999999 -1,000000 -0,999882 -1,000000 -0,999990 -0,999987 -1,000000 -1,000000 1,000000 -1,000000 -1,000000 -0,999985 1,000000 -1,000000 -1,000000 1,000000 1,000000 -1,000000 -1,000000 -0,998908 1,000000 1,000000 1,000000 -1,000000 -0,999998 1,000000 0,999993 -1,000000 -0,999992 0,999997 -1,000000 -0,999908 0,999999 -1,000000 -0,999784 -1,000000 0,999997 -0,999999 1,000000 -0,999964 -0,999764 1,000000 -1,000000 -1,000000 0,962877 0,896270 -0,972556 0,012646 -0,572095 0,018880 -0,958782 -0,018695 0,859029 -0,846199 -0,994338 0,964898 -0,080687 0,065052 -0,997579 -0,018129 0,010935 0,997791 -0,935156 -0,987717 -0,001576 -0,001655 0,002055 -0,000232 -0,999966 0,001245 0,002503 0,002942 0,000266 0,000183 5,285062
1,000000 1,000000 -1,000000 1,000000 -1,000000 1,000000 1,000000 -1,000000 -1,000000 -1,000000 -1,000000 -1,000000 -1,000000 -1,000000 1,000000 -1,000000 -1,000000 -1,000000 1,000000 -1,000000 -1,000000 1,000000 1,000000 -1,000000 -1,000000 1,000000 1,000000 1,000000 1,000000 -1,000000 -1,000000 1,000000 1,000000 -1,000000 -1,000000 1,000000 -1,000000 -1,000000 1,000000 -1,000000 -1,000000 -1,000000 1,000000 -1,000000 1,000000 1,000000 1,000000 1,000000 -1,000000 -1,000000 0,321299 0,885452 -0,875070 -0,165124 0,083252 0,114161 -0,867226 -0,497863 0,609189 -0,336523 -0,989053 0,933162 0,193363 0,058012 -0,964942 -0,160754 0,244796 0,970578 -0,883579 -0,911005 -0,133994 -0,065688 0,078574 -0,090567 -0,999453 -0,160486 0,030192 0,064701 -0,112795 -0,002817 4,943806
0,999999 1,000000 -1,000000 0,998777 -1,000000 1,000000 1,000000 -1,000000 -1,000000 -1,000000 -1,000000 -1,000000 -1,000000 -1,000000 1,000000 -1,000000 -1,000000 -1,000000 1,000000 -1,000000 -1,000000 1,000000 1,000000 -1,000000 -1,000000 1,000000 1,000000 1,000000 1,000000 -1,000000 -1,000000 1,000000 1,000000 -1,000000 -1,000000 1,000000 -1,000000 -1,000000 1,000000 -1,000000 -1,000000 -1,000000 1,000000 -1,000000 1,000000 1,000000 1,000000 1,000000 -1,000000 -1,000000 0,670704 0,649447 -0,942119 0,016484 -0,052371 0,040752 -0,999698 -0,210641 0,191540 -0,622164 -0,975656 0,897124 -0,347389 0,287317 -0,757149 -0,035956 0,016571 0,920225 -0,685966 -0,954235 0,000161 0,000329 0,000180 -0,000401 -0,999567 0,000170 -0,000108 -0,000016 -0,000185 -0,000387 5,510335
