Neuron_0_of_Layer_0 Neuron_1_of_Layer_0 Neuron_2_of_Layer_0 Neuron_3_of_Layer_0 Neuron_4_of_Layer_0 Neuron_5_of_Layer_0 Neuron_6_of_Layer_0 Neuron_7_of_Layer_0 Neuron_8_of_Layer_0 Neuron_9_of_Layer_0 Neuron_10_of_Layer_0 Neuron_11_of_Layer_0 Neuron_12_of_Layer_0 Neuron_13_of_Layer_0 Neuron_14_of_Layer_0 Neuron_15_of_Layer_0 Neuron_16_of_Layer_0 Neuron_17_of_Layer_0 Neuron_18_of_Layer_0 Neuron_19_of_Layer_0 Neuron_0_of_Layer_1 Neuron_1_of_Layer_1 Neuron_2_of_Layer_1 Neuron_3_of_Layer_1 Neuron_4_of_Layer_1 Neuron_5_of_Layer_1 Neuron_6_of_Layer_1 Neuron_7_of_Layer_1 Neuron_8_of_Layer_1 Neuron_9_of_Layer_1 Neuron_0_of_Layer_2
-1,000000 -1,000000 -1,000000 1,000000 -1,000000 1,000000 -1,000000 -1,000000 -1,000000 1,000000 -1,000000 -1,000000 1,000000 1,000000 1,000000 1,000000 1,000000 1,000000 1,000000 -1,000000 -0,523361 -0,411226 -0,426657 0,994907 0,126097 0,920926 0,660363 -0,663959 0,753949 0,813253 0,030140
-1,000000 -1,000000 -1,000000 1,000000 -1,000000 1,000000 -1,000000 -1,000000 -1,000000 1,000000 -1,000000 -1,000000 1,000000 1,000000 1,000000 1,000000 1,000000 1,000000 1,000000 -1,000000 -0,522725 -0,411976 -0,429105 0,994906 0,126349 0,920911 0,659827 -0,663838 0,755725 0,812910 0,030384
-1,000000 -1,000000 -1,000000 1,000000 -1,000000 1,000000 -1,000000 -1,000000 -1,000000 1,000000 -1,000000 -1,000000 1,000000 1,000000 0,999998 1,000000 1,000000 1,000000 1,000000 -1,000000 -0,522124 -0,412768 -0,430845 0,994906 0,126395 0,920894 0,659320 -0,663720 0,757129 0,812658 0,030157
-1,000000 -1,000000 -1,000000 1,000000 -1,000000 1,000000 -0,999986 -1,000000 -1,000000 1,000000 -1,000000 -1,000000 1,000000 1,000000 0,999999 1,000000 1,000000 0,999995 1,000000 -0,999998 -0,521504 -0,413457 -0,432415 0,994905 0,126473 0,920871 0,658809 -0,663671 0,758444 0,812544 0,030121
-1,000000 -1,000000 -1,000000 1,000000 -1,000000 1,000000 -1,000000 -1,000000 -1,000000 1,000000 -1,000000 -1,000000 1,000000 1,000000 1,000000 1,000000 1,000000 1,000000 1,000000 -1,000000 -0,520860 -0,413759 -0,434280 0,994904 0,126915 0,920840 0,658298 -0,663796 0,759870 0,812619 0,031163
-1,000000 -1,000000 -1,000000 1,000000 -1,000000 1,000000 -1,000000 -1,000000 -1,000000 1,000000 -1,000000 -1,000000 1,000000 1,000000 1,000000 1,000000 1,000000 1,000000 1,000000 -1,000000 -0,520292 -0,415218 -0,434659 0,994904 0,126054 0,920830 0,657781 -0,663347 0,760601 0,812302 0,028560
-1,000000 -1,000000 -1,000000 1,000000 -1,000000 1,000000 -0,999997 -1,000000 -1,000000 0,999990 -1,000000 -1,000000 1,000000 1,000000 0,999879 1,000000 1,000000 1,000000 1,000000 -1,000000 -0,519598 -0,415272 -0,436632 0,994903 0,126746 0,920795 0,657236 -0,663590 0,762073 0,812593 0,030381
-1,000000 -1,000000 -1,000000 1,000000 -1,000000 1,000000 -0,999995 -1,000000 -1,000000 0,999991 -1,000000 -1,000000 1,000000 1,000000 0,999951 1,000000 1,000000 1,000000 1,000000 -1,000000 -0,518951 -0,415970 -0,437805 0,994903 0,126642 0,920763 0,656708 -0,663529 0,763137 0,812627 0,030030
-1,000000 -1,000000 -1,000000 1,000000 -1,000000 1,000000 -1,000000 -1,000000 -1,000000 1,000000 -1,000000 -1,000000 1,000000 1,000000 1,000000 1,000000 1,000000 1,000000 1,000000 -1,000000 -0,518266 -0,416601 -0,439028 0,994903 0,126616 0,920729 0,656155 -0,663526 0,764232 0,812750 0,029932
-1,000000 -1,000000 -1,000000 1,000000 -1,000000 1,000000 -1,000000 -1,000000 -1,000000 1,000000 -1,000000 -1,000000 1,000000 1,000000 1,000000 1,000000 1,000000 1,000000 1,000000 -1,000000 -0,517627 -0,417226 -0,440092 0,994902 0,126557 0,920699 0,655631 -0,663508 0,765219 0,812864 0,029742
