Neuron_0_of_Layer_0 Neuron_1_of_Layer_0 Neuron_0_of_Layer_1
1,189828 0,722759 -0,011863
-0,000349 -0,000794 0,009217
2,036761 1,316730 -0,014906
1,097298 0,453645 -0,004454
-0,000662 -0,002044 0,010203
1,990211 0,972911 -0,004130
-0,000647 -0,002580 -0,000084
0,848478 0,354510 -0,000662
-0,000723 -0,002370 -0,000596
-0,000770 -0,002259 -0,000804
0,899116 0,167422 0,461258
1,589531 0,618337 0,933637
0,428445 0,307395 -0,002168
-0,006856 -0,001098 -0,007584
1,517033 0,580683 1,004850
-0,006842 -0,001093 -0,007562
0,396173 0,303888 -0,002688
1,514558 0,580251 1,000318
-0,006840 -0,001093 -0,007549
-0,006839 -0,001092 -0,007544
0,396277 0,303901 -0,002673
1,514069 0,580186 1,000037
1,513981 0,580175 1,000041
-0,006836 -0,001092 -0,007527
0,433981 0,167056 -0,002443
1,513708 0,580139 1,000040
0,396240 0,303896 -0,002653
0,433926 0,167049 -0,002434
-0,006833 -0,001092 -0,007505
0,433889 0,167044 -0,002428
-0,006832 -0,001091 -0,007497
0,396206 0,303892 -0,002636
0,396199 0,303891 -0,002633
0,433814 0,167034 -0,002415
-0,006829 -0,001091 -0,007479
0,396177 0,303888 -0,002623
0,396170 0,303887 -0,002620
1,512621 0,579995 1,000039
-0,006827 -0,001091 -0,007462
-0,006826 -0,001091 -0,007458
-0,006825 -0,001091 -0,007454
0,396132 0,303882 -0,002604
0,396124 0,303881 -0,002600
0,396116 0,303880 -0,002597
-0,006823 -0,001090 -0,007436
1,511894 0,579900 1,000039
1,511803 0,579888 1,000039
0,433542 0,166999 -0,002371
0,396075 0,303875 -0,002581
0,433502 0,166993 -0,002365
0,433482 0,166991 -0,002362
-0,006818 -0,001090 -0,007407
1,511257 0,579816 1,000039
0,396032 0,303869 -0,002565
0,396024 0,303868 -0,002562
1,510984 0,579780 1,000039
0,433360 0,166975 -0,002344
1,510802 0,579756 1,000038
0,395987 0,303863 -0,002549
-0,006813 -0,001089 -0,007373
0,433277 0,166964 -0,002331
0,395959 0,303860 -0,002539
0,433235 0,166958 -0,002325
0,433214 0,166956 -0,002322
0,395931 0,303856 -0,002530
0,433172 0,166950 -0,002316
1,509981 0,579649 1,000038
0,395901 0,303852 -0,002520
0,433107 0,166942 -0,002307
0,433086 0,166939 -0,002304
0,395871 0,303848 -0,002511
0,433043 0,166933 -0,002298
1,509433 0,579577 1,000038
0,395840 0,303844 -0,002501
-0,006804 -0,001088 -0,007310
-0,006804 -0,001088 -0,007305
1,509068 0,579530 1,000038
1,508976 0,579518 1,000038
1,508885 0,579506 1,000038
0,432867 0,166910 -0,002274
-0,006801 -0,001087 -0,007284
-0,006800 -0,001087 -0,007280
1,508519 0,579458 1,000037
-0,006799 -0,001087 -0,007272
0,432755 0,166896 -0,002259
0,395709 0,303827 -0,002464
1,508153 0,579410 1,000037
-0,006797 -0,001087 -0,007255
0,395675 0,303822 -0,002455
0,395663 0,303821 -0,002452
0,395652 0,303819 -0,002448
-0,006795 -0,001087 -0,007239
-0,006794 -0,001087 -0,007235
0,432549 0,166869 -0,002232
-0,006793 -0,001086 -0,007227
1,507328 0,579303 1,000037
0,432479 0,166860 -0,002223
1,507144 0,579279 1,000037
0,432432 0,166854 -0,002217
1,506961 0,579255 1,000037
0,432385 0,166847 -0,002211
0,395518 0,303802 -0,002415
0,432337 0,166841 -0,002206
0,432313 0,166838 -0,002203
0,432289 0,166835 -0,002200
0,395467 0,303795 -0,002402
0,432241 0,166829 -0,002194
0,395441 0,303792 -0,002396
-0,006785 -0,001085 -0,007169
0,432169 0,166819 -0,002185
1,505951 0,579124 1,000036
0,395388 0,303785 -0,002384
0,395375 0,303783 -0,002381
1,505675 0,579088 1,000036
0,432047 0,166804 -0,002171
-0,006781 -0,001085 -0,007141
-0,006781 -0,001085 -0,007137
1,505307 0,579040 1,000036
0,431948 0,166791 -0,002159
-0,006779 -0,001085 -0,007125
1,505031 0,579005 1,000036
0,431873 0,166781 -0,002150
0,395237 0,303766 -0,002351
1,504755 0,578969 1,000036
1,504662 0,578957 1,000036
-0,006776 -0,001084 -0,007100
1,504478 0,578933 1,000036
0,395165 0,303756 -0,002336
0,395151 0,303754 -0,002333
1,504202 0,578897 1,000036
1,504110 0,578886 1,000036
1,504017 0,578874 1,000036
-0,006772 -0,001084 -0,007072
1,503833 0,578850 1,000036
0,395062 0,303743 -0,002316
0,395047 0,303741 -0,002313
1,503556 0,578814 1,000035
0,395016 0,303737 -0,002307
0,431437 0,166725 -0,002102
-0,006769 -0,001083 -0,007044
1,503187 0,578767 1,000035
-0,006768 -0,001083 -0,007036
0,431332 0,166711 -0,002091
0,431305 0,166708 -0,002088
0,431279 0,166704 -0,002085
0,394892 0,303721 -0,002283
0,394876 0,303719 -0,002280
0,394861 0,303717 -0,002277
-0,006764 -0,001083 -0,007009
0,431145 0,166687 -0,002071
0,431119 0,166684 -0,002068
0,431092 0,166680 -0,002065
1,502079 0,578624 1,000035
1,501986 0,578612 1,000035
0,431010 0,166670 -0,002057
0,430983 0,166666 -0,002054
0,394714 0,303698 -0,002251
0,430929 0,166659 -0,002049
1,501524 0,578552 1,000035
0,394664 0,303692 -0,002243
1,501339 0,578529 1,000035
-0,006758 -0,001082 -0,006958
0,430791 0,166642 -0,002035
0,394597 0,303683 -0,002231
1,500969 0,578481 1,000034
0,394562 0,303679 -0,002225
1,500784 0,578457 1,000034
-0,006755 -0,001081 -0,006934
0,430624 0,166620 -0,002018
0,430596 0,166617 -0,002016
-0,006754 -0,001081 -0,006923
0,430540 0,166609 -0,002010
0,430512 0,166606 -0,002007
-0,006752 -0,001081 -0,006911
-0,006752 -0,001081 -0,006907
-0,006751 -0,001081 -0,006903
1,499857 0,578339 1,000034
1,499765 0,578327 1,000034
1,499672 0,578315 1,000034
0,430313 0,166580 -0,001988
0,430284 0,166577 -0,001986
0,430255 0,166573 -0,001983
-0,006748 -0,001081 -0,006876
0,430197 0,166566 -0,001977
1,499115 0,578244 1,000034
1,499023 0,578232 1,000034
0,394187 0,303631 -0,002166
-0,006746 -0,001080 -0,006857
1,498744 0,578196 1,000034
-0,006745 -0,001080 -0,006849
0,429994 0,166540 -0,001959
1,498466 0,578161 1,000033
-0,006744 -0,001080 -0,006838
-0,006743 -0,001080 -0,006834
1,498187 0,578125 1,000033
0,429847 0,166521 -0,001945
0,393998 0,303606 -0,002138
1,497909 0,578090 1,000033
-0,006741 -0,001080 -0,006815
0,393940 0,303599 -0,002130
1,497630 0,578054 1,000033
0,429668 0,166498 -0,001929
0,429638 0,166494 -0,001927
1,497351 0,578019 1,000033
0,393842 0,303587 -0,002116
0,393822 0,303584 -0,002113
0,393802 0,303582 -0,002110
-0,006737 -0,001079 -0,006781
1,496887 0,577960 1,000033
-0,006736 -0,001079 -0,006773
1,496701 0,577936 1,000033
0,429366 0,166460 -0,001903
1,496515 0,577912 1,000033
1,496422 0,577900 1,000033
-0,006734 -0,001079 -0,006755
0,393621 0,303558 -0,002086
0,393601 0,303556 -0,002083
1,496050 0,577853 1,000033
1,495957 0,577841 1,000032
1,495864 0,577830 1,000032
0,429089 0,166424 -0,001879
0,393497 0,303543 -0,002069
-0,006731 -0,001078 -0,006725
0,393456 0,303537 -0,002064
0,428965 0,166409 -0,001869
0,393414 0,303532 -0,002059
-0,006729 -0,001078 -0,006710
0,393371 0,303527 -0,002053
0,393350 0,303524 -0,002050
-0,006728 -0,001078 -0,006699
1,494840 0,577700 1,000032
-0,006727 -0,001078 -0,006691
1,494653 0,577676 1,000032
0,428682 0,166373 -0,001845
0,393222 0,303508 -0,002034
0,393200 0,303505 -0,002032
1,494281 0,577629 1,000032
1,494187 0,577617 1,000032
0,393135 0,303497 -0,002024
-0,006724 -0,001078 -0,006662
0,393091 0,303491 -0,002018
0,428427 0,166340 -0,001825
-0,006723 -0,001077 -0,006650
0,428362 0,166332 -0,001820
1,493535 0,577535 1,000032
1,493442 0,577523 1,000032
0,392958 0,303474 -0,002002
-0,006721 -0,001077 -0,006632
-0,006720 -0,001077 -0,006628
1,493069 0,577476 1,000031
-0,006720 -0,001077 -0,006621
-0,006719 -0,001077 -0,006618
0,428070 0,166295 -0,001797
1,492696 0,577429 1,000031
0,428005 0,166287 -0,001792
0,392755 0,303449 -0,001979
0,427939 0,166279 -0,001787
0,392709 0,303443 -0,001973
-0,006717 -0,001077 -0,006592
1,492136 0,577358 1,000031
0,392640 0,303434 -0,001966
0,392617 0,303431 -0,001963
-0,006715 -0,001076 -0,006578
0,427707 0,166250 -0,001769
-0,006714 -0,001076 -0,006570
1,491576 0,577288 1,000031
-0,006714 -0,001076 -0,006563
0,427574 0,166233 -0,001759
-0,006713 -0,001076 -0,006556
1,491202 0,577241 1,000031
-0,006712 -0,001076 -0,006549
-0,006712 -0,001076 -0,006545
1,490922 0,577205 1,000031
0,392334 0,303396 -0,001932
1,490735 0,577182 1,000031
0,392286 0,303390 -0,001927
1,490549 0,577158 1,000031
-0,006710 -0,001076 -0,006523
0,392214 0,303381 -0,001919
-0,006709 -0,001076 -0,006516
1,490175 0,577112 1,000030
0,392141 0,303372 -0,001911
1,489988 0,577088 1,000030
0,427032 0,166165 -0,001720
1,489801 0,577065 1,000030
0,392043 0,303359 -0,001901
1,489614 0,577041 1,000030
0,426895 0,166148 -0,001710
0,391970 0,303350 -0,001894
0,426826 0,166139 -0,001705
1,489240 0,576994 1,000030
1,489147 0,576983 1,000030
0,391870 0,303338 -0,001884
0,391845 0,303335 -0,001881
1,488867 0,576948 1,000030
-0,006704 -0,001075 -0,006459
1,488680 0,576924 1,000030
1,488586 0,576912 1,000030
0,426513 0,166100 -0,001683
1,488399 0,576889 1,000030
0,391669 0,303313 -0,001863
1,488212 0,576866 1,000030
1,488118 0,576854 1,000030
1,488025 0,576842 1,000030
0,391567 0,303300 -0,001853
0,391541 0,303297 -0,001851
0,391516 0,303293 -0,001848
0,391490 0,303290 -0,001846
0,426161 0,166056 -0,001659
0,391438 0,303284 -0,001841
0,426090 0,166047 -0,001654
0,391387 0,303277 -0,001836
0,391361 0,303274 -0,001833
0,425983 0,166034 -0,001647
0,391308 0,303268 -0,001829
0,425911 0,166025 -0,001643
-0,006697 -0,001074 -0,006386
0,425840 0,166016 -0,001638
1,486622 0,576667 1,000029
1,486528 0,576656 1,000029
-0,006696 -0,001074 -0,006372
-0,006695 -0,001074 -0,006369
-0,006695 -0,001074 -0,006365
-0,006695 -0,001074 -0,006362
1,486060 0,576597 1,000029
1,485966 0,576586 1,000029
0,390991 0,303228 -0,001799
0,390964 0,303225 -0,001797
0,425442 0,165966 -0,001612
0,390911 0,303218 -0,001792
0,425369 0,165957 -0,001607
-0,006692 -0,001074 -0,006334
0,390830 0,303208 -0,001784
0,425260 0,165944 -0,001600
-0,006691 -0,001073 -0,006324
1,485030 0,576469 1,000029
0,390721 0,303194 -0,001775
0,390694 0,303191 -0,001772
0,390666 0,303188 -0,001770
0,390639 0,303184 -0,001767
1,484562 0,576411 1,000029
0,390584 0,303177 -0,001763
0,424928 0,165903 -0,001579
0,424891 0,165898 -0,001577
1,484187 0,576365 1,000028
0,390473 0,303164 -0,001753
0,424780 0,165884 -0,001570
-0,006687 -0,001073 -0,006279
0,390390 0,303153 -0,001746
-0,006687 -0,001073 -0,006273
0,390334 0,303146 -0,001741
-0,006686 -0,001073 -0,006266
1,483438 0,576272 1,000028
-0,006686 -0,001073 -0,006259
0,424481 0,165847 -0,001552
-0,006685 -0,001073 -0,006252
0,424406 0,165838 -0,001547
1,482970 0,576214 1,000028
1,482876 0,576202 1,000028
0,424293 0,165824 -0,001540
1,482689 0,576179 1,000028
0,424217 0,165815 -0,001536
0,389995 0,303105 -0,001713
0,424141 0,165805 -0,001531
1,482314 0,576133 1,000028
0,389909 0,303094 -0,001705
1,482127 0,576110 1,000028
1,482033 0,576098 1,000028
-0,006682 -0,001072 -0,006209
-0,006681 -0,001072 -0,006205
0,389765 0,303076 -0,001694
1,481658 0,576052 1,000028
1,481564 0,576041 1,000028
0,389678 0,303065 -0,001687
-0,006680 -0,001072 -0,006189
1,481283 0,576006 1,000027
0,423645 0,165744 -0,001502
1,481096 0,575983 1,000027
1,481002 0,575971 1,000027
-0,006679 -0,001072 -0,006172
0,389473 0,303040 -0,001670
0,423452 0,165720 -0,001491
0,389414 0,303033 -0,001666
1,480534 0,575914 1,000027
0,423335 0,165706 -0,001484
0,389325 0,303022 -0,001659
1,480252 0,575879 1,000027
1,480159 0,575867 1,000027
-0,006676 -0,001072 -0,006142
0,389206 0,303007 -0,001650
0,389176 0,303004 -0,001647
0,423063 0,165672 -0,001468
-0,006676 -0,001071 -0,006129
1,479596 0,575798 1,000027
-0,006675 -0,001071 -0,006122
-0,006675 -0,001071 -0,006119
-0,006675 -0,001071 -0,006116
1,479221 0,575752 1,000027
-0,006674 -0,001071 -0,006109
0,422749 0,165634 -0,001451
-0,006674 -0,001071 -0,006103
0,388844 0,302963 -0,001622
1,478753 0,575695 1,000027
1,478659 0,575683 1,000027
1,478565 0,575672 1,000027
0,422511 0,165605 -0,001438
0,422472 0,165600 -0,001436
0,422432 0,165595 -0,001433
0,422392 0,165590 -0,001431
1,478097 0,575614 1,000026
0,422313 0,165580 -0,001427
-0,006671 -0,001071 -0,006067
0,388507 0,302922 -0,001597
0,388476 0,302918 -0,001595
-0,006670 -0,001071 -0,006057
0,388414 0,302910 -0,001591
1,477441 0,575534 1,000026
0,422033 0,165546 -0,001412
1,477253 0,575511 1,000026
0,421952 0,165536 -0,001407
-0,006669 -0,001071 -0,006038
0,388227 0,302887 -0,001577
-0,006669 -0,001071 -0,006032
0,388164 0,302880 -0,001573
1,476691 0,575443 1,000026
0,388101 0,302872 -0,001568
-0,006668 -0,001070 -0,006019
-0,006667 -0,001070 -0,006016
0,388007 0,302860 -0,001562
0,421548 0,165487 -0,001386
0,387943 0,302853 -0,001557
1,476035 0,575363 1,000026
0,387880 0,302845 -0,001553
0,421385 0,165467 -0,001378
0,421345 0,165462 -0,001375
0,421304 0,165457 -0,001373
-0,006666 -0,001070 -0,005987
1,475472 0,575294 1,000026
0,421181 0,165442 -0,001367
0,387656 0,302818 -0,001537
1,475191 0,575260 1,000026
0,387592 0,302810 -0,001533
1,475004 0,575237 1,000026
0,420976 0,165417 -0,001356
0,420935 0,165412 -0,001354
1,474723 0,575203 1,000025
1,474629 0,575191 1,000025
0,387398 0,302786 -0,001520
0,387366 0,302782 -0,001518
0,387333 0,302778 -0,001516
-0,006663 -0,001070 -0,005943
0,387268 0,302771 -0,001511
0,387235 0,302767 -0,001509
1,473973 0,575112 1,000025
1,473879 0,575100 1,000025
1,473786 0,575089 1,000025
-0,006661 -0,001070 -0,005924
0,420397 0,165347 -0,001327
0,420355 0,165342 -0,001325
1,473411 0,575043 1,000025
0,420271 0,165332 -0,001321
-0,006661 -0,001070 -0,005908
0,386907 0,302727 -0,001487
1,473036 0,574998 1,000025
0,420104 0,165311 -0,001313
0,386808 0,302715 -0,001481
-0,006660 -0,001070 -0,005893
0,386741 0,302707 -0,001477
0,419936 0,165291 -0,001305
-0,006659 -0,001069 -0,005883
0,386641 0,302695 -0,001470
0,419810 0,165276 -0,001298
1,472193 0,574896 1,000025
0,386541 0,302682 -0,001464
1,472006 0,574873 1,000025
1,471912 0,574862 1,000025
0,419599 0,165250 -0,001288
0,386406 0,302666 -0,001456
1,471631 0,574828 1,000025
1,471537 0,574817 1,000025
1,471444 0,574805 1,000024
1,471350 0,574794 1,000024
0,419344 0,165219 -0,001276
0,419302 0,165214 -0,001274
0,419259 0,165209 -0,001272
1,470975 0,574749 1,000024
0,386102 0,302629 -0,001437
0,386068 0,302625 -0,001435
0,386033 0,302621 -0,001432
0,419046 0,165183 -0,001262
0,385965 0,302613 -0,001428
0,418960 0,165173 -0,001258
1,470320 0,574670 1,000024
0,418874 0,165163 -0,001254
-0,006655 -0,001069 -0,005806
0,385794 0,302592 -0,001418
0,385759 0,302588 -0,001416
1,469852 0,574613 1,000024
1,469758 0,574602 1,000024
1,469664 0,574591 1,000024
