Neuron_0_of_Layer_0 Neuron_1_of_Layer_0 Neuron_0_of_Layer_1
-0,000297 -0,000053 -0,000923
-0,000382 -0,000129 -0,001146
0,503026 -0,000896 0,006968
-0,000418 -0,000284 -0,001095
0,496315 -0,001204 0,007457
-0,013923 0,332069 -0,003615
0,489586 -0,001510 0,007491
0,486326 -0,001661 0,007577
-0,013972 0,286326 -0,003171
0,479861 -0,001965 0,007705
-0,008704 0,126222 -0,001893
-0,000548 -0,000892 -0,000892
-0,014034 0,225815 -0,002604
-0,000579 -0,001042 -0,000844
-0,014063 0,195729 -0,002329
-0,000608 -0,001193 -0,000799
-0,000623 -0,001251 -0,000778
0,455802 -0,002988 0,007763
-0,014120 0,167930 -0,002030
-0,008966 -0,000056 -0,000736
-0,000678 -0,001255 -0,000690
-0,009019 -0,000059 -0,000694
-0,009044 -0,000060 -0,000671
-0,000717 -0,001256 -0,000629
-0,009094 -0,000063 -0,000631
-0,009118 -0,000064 -0,000611
0,432537 -0,002992 0,008002
-0,000765 -0,001258 -0,000551
-0,000777 -0,001258 -0,000531
-0,009210 -0,000069 -0,000534
-0,000799 -0,001258 -0,000495
-0,014276 0,166390 -0,001753
-0,000820 -0,001259 -0,000458
0,417211 -0,002995 0,008232
0,415239 -0,002996 0,008354
-0,000850 -0,001260 -0,000407
-0,000859 -0,001260 -0,000390
-0,000868 -0,001260 -0,000372
0,407816 -0,002997 0,008317
-0,014352 0,165487 -0,001606
-0,000894 -0,001261 -0,000324
-0,000902 -0,001261 -0,000308
0,401274 -0,002998 0,008461
-0,009468 -0,000087 -0,000294
0,398327 -0,002999 0,008445
0,396946 -0,003000 0,008536
-0,014403 0,164717 -0,001488
-0,014410 0,164607 -0,001470
-0,009534 -0,000093 -0,000216
-0,009546 -0,000094 -0,000201
-0,009557 -0,000095 -0,000186
-0,009567 -0,000096 -0,000173
-0,000972 -0,001264 -0,000144
-0,014442 0,163965 -0,001377
-0,000981 -0,001264 -0,000118
0,386173 -0,003003 0,008731
-0,014454 0,163649 -0,001333
-0,009618 -0,000103 -0,000087
-0,000996 -0,001265 -0,000061
-0,000999 -0,001265 -0,000049
-0,014466 0,163229 -0,001272
0,382474 -0,003004 0,008697
-0,009644 -0,000109 -0,000019
-0,009647 -0,000110 -0,000005
-0,001009 -0,001273 0,090587
-0,009591 -0,000394 0,308119
0,437754 -0,003491 0,232080
-0,008180 -0,000107 0,346981
0,067568 -0,000148 0,356346
0,244925 0,075929 0,277665
