Neuron_0_of_Layer_0 Neuron_1_of_Layer_0 Neuron_0_of_Layer_1
0,852270 -0,006673 -0,010710
-0,010783 0,541609 0,044185
-0,005690 -0,002447 0,557588
-0,004255 -0,000624 0,977162
-0,002893 0,037357 0,970199
0,871243 -0,002153 -0,002323
-0,011502 1,261088 -0,005944
-0,002704 -0,000268 1,000266
0,872717 -0,002209 -0,002346
0,872397 -0,002215 -0,002339
-0,011507 1,256763 -0,005862
0,871759 -0,002226 -0,002329
0,871440 -0,002232 -0,002324
-0,000079 1,062737 -0,003538
-0,011514 1,252948 -0,005786
-0,000082 1,061565 -0,003512
-0,011517 1,251062 -0,005749
0,869858 -0,002261 -0,002298
0,869544 -0,002267 -0,002293
-0,000088 1,059247 -0,003460
0,868918 -0,002278 -0,002282
-0,000091 1,058102 -0,003435
-0,011526 1,245490 -0,005639
0,867983 -0,002295 -0,002267
-0,000096 1,056400 -0,003397
-0,002759 -0,000437 1,000115
0,867056 -0,002312 -0,002251
-0,000101 1,054718 -0,003359
-0,000102 1,054162 -0,003347
-0,002771 -0,000473 1,000114
-0,000106 1,053055 -0,003322
-0,002777 -0,000491 1,000113
-0,011541 1,236477 -0,005461
-0,011543 1,235594 -0,005444
0,864613 -0,002356 -0,002211
-0,002789 -0,000526 1,000112
-0,002792 -0,000535 1,000111
-0,011549 1,232095 -0,005376
-0,002798 -0,000552 1,000111
-0,002801 -0,000560 1,000110
-0,000121 1,047645 -0,003202
0,862512 -0,002393 -0,002177
-0,011556 1,227792 -0,005292
-0,011558 1,226941 -0,005275
0,861622 -0,002408 -0,002162
-0,000129 1,045015 -0,003144
-0,011562 1,224406 -0,005226
0,860738 -0,002424 -0,002147
0,860444 -0,002429 -0,002143
-0,011567 1,221899 -0,005177
-0,011568 1,221069 -0,005161
-0,011569 1,220242 -0,005145
-0,000139 1,041414 -0,003065
-0,011572 1,218598 -0,005113
-0,011574 1,217780 -0,005097
0,858410 -0,002464 -0,002109
0,858122 -0,002469 -0,002104
-0,002853 -0,000710 1,000104
0,857548 -0,002479 -0,002095
-0,011581 1,213734 -0,005019
-0,000151 1,037411 -0,002977
-0,000152 1,036919 -0,002966
0,856407 -0,002499 -0,002076
-0,002870 -0,000757 1,000102
-0,002873 -0,000765 1,000102
-0,002876 -0,000773 1,000102
-0,000159 1,034485 -0,002913
-0,011592 1,207410 -0,004898
-0,002884 -0,000796 1,000101
-0,011595 1,205857 -0,004868
-0,011596 1,205084 -0,004853
0,853880 -0,002541 -0,002035
0,853602 -0,002546 -0,002030
-0,000169 1,031150 -0,002840
-0,002901 -0,000842 1,000099
0,852773 -0,002560 -0,002017
-0,002906 -0,000857 1,000098
-0,000175 1,029282 -0,002800
-0,002911 -0,000872 1,000098
-0,000178 1,028358 -0,002780
-0,002917 -0,000887 1,000097
-0,011611 1,196764 -0,004694
-0,011613 1,196023 -0,004680
-0,000183 1,026529 -0,002740
0,850319 -0,002601 -0,001976
-0,000186 1,025625 -0,002721
-0,002933 -0,000931 1,000095
-0,011619 1,192358 -0,004610
0,849244 -0,002619 -0,001959
-0,000192 1,023835 -0,002682
-0,000193 1,023391 -0,002672
-0,011625 1,189472 -0,004555
0,848179 -0,002636 -0,001941
0,847915 -0,002641 -0,001937
-0,011629 1,187333 -0,004515
-0,000200 1,021197 -0,002625
0,847124 -0,002654 -0,001924
-0,002962 -0,001009 1,000092
-0,011634 1,184515 -0,004462
-0,000205 1,019469 -0,002588
-0,011636 1,183121 -0,004435
0,845818 -0,002675 -0,001903
-0,000209 1,018189 -0,002561
-0,011640 1,181047 -0,004396
-0,002980 -0,001057 1,000090
-0,002982 -0,001064 1,000090
